"Detailed household final consumption expenditure, Canada, quarterly (x 1,000,000)"
"Quarterly"
"Table: 36-10-0124-01 (formerly CANSIM 380-0085)"
"Geography: Canada"

"","Current prices",,,,,,
"Information processing equipment","1,126","994","1,234","1,505","1,196","1,172","1,464"
"Recording media","546","520","553","921","587","560","629"
"Major durables for outdoor recreation","1,125","2,944","2,461","1,087","1,004","2,778","3,023"
"Musical instruments and major durables for indoor recreation","282","285","312","362","279","249","312"
"Games, toys and hobbies","1,105","1,225","1,353","2,676","1,245","1,562","1,757"
"Equipment for sport, camping and open-air recreation","1,038","1,579","1,639","1,542","1,160","1,951","2,228"
"Garden products, plants and flowers","634","1,836","1,002","761","671","2,067","1,187"
"Pets and pet food","1,279","1,369","1,421","1,617","1,511","1,438","1,656"
"Veterinary and other services for pets","867","1,082","978","992","917","1,027","1,056"
"Recreational and sporting services","2,879","3,336","3,917","2,669","2,575","1,358","2,348"
"Cable, satellite and other program distribution services","2,682","2,525","2,766","2,620","2,654","2,528","2,756"
"Cinemas","258","303","286","300","200","5","27"
"Photographic services","260","289","318","241","249","264","307"
"Other cultural services","798","906","1,004","796","797","485","507"
"Games of chance","4,020","4,059","4,186","4,220","3,719","1,282","2,515"
"Books","756","700","950","1,044","681","541","923"
"Newspapers and periodicals","396","379","437","459","386","343","350"
"Miscellaneous printed matter and stationery and drawing materials","445","454","572","650","439","428","625"
"Education","6,099","5,946","5,365","5,960","6,094","5,623","5,083"
"University education","3,084","2,933","2,777","2,921","3,025","2,895","2,671"
"Other education","3,015","3,013","2,588","3,039","3,069","2,728","2,412"
"Food, beverage and accommodation services","20,597","23,701","25,108","23,124","18,562","11,502","18,252"
"Food and non-alcoholic beverage services","15,132","17,076","17,781","16,981","13,699","9,364","14,211"
"Alcoholic beverage services","2,577","3,119","3,182","3,028","2,263","941","2,147"
"Accommodation services","2,888","3,506","4,145","3,115","2,600","1,197","1,894"
"Insurance and financial services","28,271","28,808","28,958","29,575","28,987","29,262","29,451"
"Life insurance","2,812","2,861","2,868","2,914","2,879","2,911","2,916"
"Property insurance","745","728","665","702","767","725","667"
"Health insurance","1,712","1,958","1,915","1,842","1,753","2,003","1,956"
"Insurance related to transport","1,717","2,002","1,917","1,958","1,835","2,148","2,055"
"Implicit loan charges","3,682","3,686","3,766","3,844","3,827","3,859","3,757"
"Implicit deposit charges","3,171","3,150","3,239","3,300","3,294","3,387","3,387"
"Stock and bond commissions","1,446","1,435","1,430","1,467","1,443","1,459","1,401"
"Other actual financial charges","4,990","5,009","5,133","5,056","5,145","4,898","5,054"
"Trusteed pension funds","1,958","1,812","1,727","2,185","1,978","1,789","1,766"
"Mutual funds","6,038","6,167","6,298","6,307","6,066","6,083","6,492"
"Miscellaneous goods and services","15,491","16,700","16,715","18,508","15,548","13,110","15,968"
"Personal grooming services","2,215","2,453","2,355","2,488","2,010","1,153","1,954"
"Electrical appliances for personal care","162","185","182","272","177","230","233"
"Other appliances, articles and products for personal care","4,121","4,411","4,505","5,268","4,383","4,417","4,646"
"Jewellery, clocks and watches","973","1,232","1,188","1,881","842","680","1,331"
"Other personal effects","710","848","909","1,033","625","569","866"
"Child care services outside the home","1,504","1,532","1,553","1,610","1,482","355","1,042"
"Child care services in the home","319","329","335","349","303","192","288"
"Other social services","2,417","2,465","2,525","2,501","2,555","2,511","2,534"
"Undertaking and other funeral services","676","631","607","677","706","670","650"
"Legal and other services","2,394","2,614","2,556","2,429","2,465","2,333","2,424"
"Net expenditure abroad","5,344","2,349","-222","2,522","5,502","-2,154","-628"
"Expenditure by Canadians abroad","14,159","13,057","12,452","12,308","13,726","766","715"
"Expenditure by non-residents in Canada","-8,815","-10,708","-12,674","-9,786","-8,224","-2,920","-1,343"

Symbol legend:

Footnotes:

"How to cite: Statistics Canada. Table 36-10-0124-01 Detailed household final consumption expenditure, Canada, quarterly (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610012401
DOI: https://doi.org/10.25318/3610012401-eng
